Category,Rating,Reviews,Content Rating,Size_in_bytes,Numeric_installs
LIBRARIES_AND_DEMO,4.1,20145,Everyone,110.0,1000000
BUSINESS,4.3,46353,Everyone,210000000.0,1000000
LIBRARIES_AND_DEMO,3.9,58055,Everyone,410.0,5000000
LIBRARIES_AND_DEMO,3.8,7750,Everyone,2920.0,1000000
EDUCATION,4.4,1619,Everyone,30000000.0,1000000
LIBRARIES_AND_DEMO,5.0,26,Everyone,25000000.0,1000
BEAUTY,4.5,473,Mature 17+,82000000.0,100000
COMMUNICATION,4.2,124346,Everyone,6950.0,10000000
EVENTS,5.0,16,Everyone,23000000.0,100
FINANCE,4.1,13868,Everyone,14000000.0,1000000
COMMUNICATION,4.4,32254,Everyone,55000000.0,1000000
COMMUNICATION,4.2,125232,Everyone,27000000.0,10000000
EDUCATION,4.0,430,Everyone,5260.0,10000
EDUCATION,4.0,275,Everyone,23000000.0,50000
BOOKS_AND_REFERENCE,3.9,1778,Mature 17+,49000000.0,500000
BUSINESS,4.4,2287,Everyone,15000000.0,1000000
LIBRARIES_AND_DEMO,3.5,126862,Everyone,6240.0,10000000
COMMUNICATION,4.1,255,Everyone,16000000.0,10000
LIFESTYLE,4.1,360,Everyone,46000000.0,10000
LIFESTYLE,4.1,360,Everyone,46000000.0,10000
EDUCATION,4.3,656,Everyone,5560.0,10000
AUTO_AND_VEHICLES,4.0,1403,Everyone,2010.0,100000
BUSINESS,3.1,4034,Everyone,230.0,100000
LIBRARIES_AND_DEMO,4.4,783,Everyone,64000000.0,100000
LIFESTYLE,4.3,1533,Everyone,77000000.0,100000
LIBRARIES_AND_DEMO,3.8,67007,Everyone,2320.0,5000000
BOOKS_AND_REFERENCE,3.5,156,Everyone,420000000.0,500000
HEALTH_AND_FITNESS,3.7,1861,Everyone,15000000.0,1000000
EDUCATION,4.3,11904,Everyone,18000000.0,1000000
EDUCATION,4.3,22251,Everyone,18000000.0,1000000
LIFESTYLE,4.4,16637,Everyone,100000000.0,1000000
LIFESTYLE,4.4,16637,Everyone,100000000.0,1000000
COMMUNICATION,4.0,9498,Everyone,1180.0,1000000
COMMUNICATION,4.1,28238,Everyone,170000000.0,1000000
COMMUNICATION,4.2,42925,Everyone,28000000.0,1000000
LIFESTYLE,3.7,4212,Everyone,200000000.0,1000000
ENTERTAINMENT,4.2,38769,Mature 17+,440000000.0,1000000
LIFESTYLE,4.3,7287,Everyone,50000000.0,1000000
GAME,4.3,10306,Mature 17+,500000000.0,1000000
GAME,4.3,10354,Mature 17+,500000000.0,1000000
EDUCATION,4.4,748,Everyone,510000000.0,1000000
EDUCATION,4.4,7005,Everyone,69000000.0,1000000
COMMUNICATION,4.3,335646,Everyone,83000000.0,10000000
ART_AND_DESIGN,4.5,27,Everyone,170000000.0,10000
COMICS,4.5,438,Everyone,34000000.0,10000
ART_AND_DESIGN,3.9,136,Everyone,46000000.0,10000
GAME,4.4,7614130,Everyone,700000000.0,100000000
GAME,4.4,7614271,Everyone,700000000.0,100000000
EDUCATION,4.0,835,Everyone,150000000.0,100000
LIBRARIES_AND_DEMO,4.3,434,Everyone,160000000.0,100000
LIBRARIES_AND_DEMO,4.6,2580,Everyone,200000000.0,100000
LIBRARIES_AND_DEMO,4.7,831,Everyone,240000000.0,100000
HEALTH_AND_FITNESS,4.1,2469,Everyone,36000000.0,100000
ART_AND_DESIGN,4.4,1518,Everyone,370000000.0,100000
AUTO_AND_VEHICLES,4.3,348,Everyone,380000000.0,100000
ART_AND_DESIGN,4.1,223,Everyone,42000000.0,100000
FINANCE,4.4,1922,Everyone,42000000.0,100000
LIBRARIES_AND_DEMO,4.1,923,Everyone,43000000.0,100000
LIFESTYLE,4.3,601,Everyone,51000000.0,100000
ART_AND_DESIGN,4.3,845,Everyone,79000000.0,100000
LIFESTYLE,3.9,18961,Everyone,18000000.0,5000000
EDUCATION,3.8,27572,Everyone,250000000.0,5000000
LIFESTYLE,4.6,116079,Everyone,32000000.0,5000000
BOOKS_AND_REFERENCE,4.6,90468,Everyone,59000000.0,5000000
GAME,4.6,59800,Everyone,78000000.0,5000000
GAME,4.6,59854,Everyone,78000000.0,5000000
EDUCATION,4.1,358,Everyone,19000000.0,50000
EDUCATION,4.3,206,Everyone,180000000.0,50000
AUTO_AND_VEHICLES,4.0,190,Everyone,25000000.0,50000
ART_AND_DESIGN,4.1,227,Everyone,52000000.0,50000
ART_AND_DESIGN,4.4,167,Everyone,56000000.0,50000
LIFESTYLE,4.6,2167,Everyone,14000000.0,500000
LIBRARIES_AND_DEMO,3.8,912,Everyone,130000000.0,500000
LIBRARIES_AND_DEMO,4.7,2639,Everyone,190000000.0,500000
EDUCATION,4.5,1929,Everyone,25000000.0,500000
EDUCATION,4.2,3816,Everyone,26000000.0,500000
LIFESTYLE,4.3,665,Everyone,30000000.0,500000
BOOKS_AND_REFERENCE,4.6,2084,Everyone,67000000.0,500000
COMMUNICATION,4.1,29208,Everyone,230000000.0,1000000
ENTERTAINMENT,4.4,67554,Teen,77000000.0,1000000
EDUCATION,4.2,240,Everyone,290000000.0,10000
FOOD_AND_DRINK,4.0,196,Everyone 10+,90000000.0,10000
EVENTS,4.3,5839,Everyone,35000000.0,100000
HEALTH_AND_FITNESS,4.3,1288,Everyone,310000000.0,100000
HEALTH_AND_FITNESS,4.2,1608,Everyone,390000000.0,100000
EDUCATION,4.2,3692,Everyone,44000000.0,100000
GAME,4.2,17039,Everyone,49000000.0,5000000
ENTERTAINMENT,4.3,103078,Everyone,56000000.0,5000000
LIFESTYLE,3.0,4260,Everyone,63000000.0,5000000
EVENTS,4.3,456,Everyone,28000000.0,50000
FINANCE,3.9,714,Everyone,36000000.0,50000
HEALTH_AND_FITNESS,4.0,2490,Everyone 10+,38000000.0,500000
HEALTH_AND_FITNESS,4.0,2490,Everyone 10+,38000000.0,500000
HEALTH_AND_FITNESS,4.4,7586,Everyone,450000000.0,500000
HEALTH_AND_FITNESS,4.5,1203,Everyone,65000000.0,500000
BOOKS_AND_REFERENCE,4.7,21336,Everyone,230000000.0,1000000
ART_AND_DESIGN,4.4,13791,Everyone,330000000.0,1000000
HOUSE_AND_HOME,3.9,6631,Everyone,55000000.0,1000000
HOUSE_AND_HOME,4.0,4465,Everyone,58000000.0,1000000
HOUSE_AND_HOME,4.0,4450,Everyone,76000000.0,1000000
GAME,4.7,295241,Everyone,39000000.0,10000000
GAME,4.7,295305,Everyone,39000000.0,10000000
BUSINESS,4.7,286897,Everyone,390000000.0,10000000
BUSINESS,4.7,286897,Everyone,390000000.0,10000000
ART_AND_DESIGN,4.8,192,Everyone,60000000.0,10000
BUSINESS,4.8,10295,Everyone,390000000.0,100000
BUSINESS,4.8,10295,Everyone,390000000.0,100000
HOUSE_AND_HOME,3.9,1478,Everyone,57000000.0,100000
GAME,4.7,1732263,Everyone,780000000.0,50000000
BOOKS_AND_REFERENCE,4.9,2739,Everyone,210000000.0,50000
HOUSE_AND_HOME,4.0,515,Everyone,58000000.0,50000
BOOKS_AND_REFERENCE,4.6,1065,Everyone,23000000.0,500000
COMMUNICATION,4.2,10965,Everyone,23000000.0,500000
EDUCATION,4.5,14206,Everyone,210000000.0,500000
HOUSE_AND_HOME,4.1,2427,Everyone,53000000.0,500000
HEALTH_AND_FITNESS,4.2,1140,Teen,55000000.0,500000
HOUSE_AND_HOME,4.0,2382,Everyone,59000000.0,500000
EDUCATION,4.0,3847,Everyone,69000000.0,500000
EDUCATION,3.9,1239,Everyone,18000000.0,100000
LIBRARIES_AND_DEMO,4.2,3945,Everyone,94000000.0,500000
FINANCE,4.5,60449,Everyone,1000000000.0,1000000
BOOKS_AND_REFERENCE,4.4,8788,Everyone,100000000.0,1000000
BUSINESS,4.1,7149,Everyone,110000000.0,1000000
BUSINESS,4.1,7149,Everyone,110000000.0,1000000
ART_AND_DESIGN,4.4,8788,Everyone,120000000.0,1000000
ENTERTAINMENT,3.8,6979,Everyone,120000000.0,1000000
COMMUNICATION,4.3,72065,Everyone,130000000.0,1000000
HEALTH_AND_FITNESS,4.8,12705,Everyone,150000000.0,1000000
FINANCE,4.3,7215,Everyone,180000000.0,1000000
GAME,4.5,10393,Everyone,180000000.0,1000000
GAME,4.5,10434,Everyone,180000000.0,1000000
BEAUTY,4.1,9315,Everyone,26000000.0,1000000
LIFESTYLE,3.2,3031,Everyone,27000000.0,1000000
BEAUTY,3.7,3871,Everyone,230000000.0,1000000
BEAUTY,4.3,8572,Everyone,250000000.0,1000000
BUSINESS,4.4,74359,Everyone,250000000.0,1000000
BUSINESS,3.8,5211,Everyone,260000000.0,1000000
EDUCATION,4.6,9321,Everyone,270000000.0,1000000
FINANCE,4.4,21570,Everyone,270000000.0,1000000
LIBRARIES_AND_DEMO,4.0,8671,Everyone,31000000.0,1000000
EDUCATION,4.7,32346,Everyone,32000000.0,1000000
LIFESTYLE,4.4,13565,Everyone,33000000.0,1000000
ENTERTAINMENT,4.2,23666,Teen,36000000.0,1000000
COMMUNICATION,4.4,27540,Everyone,37000000.0,1000000
FINANCE,4.6,69973,Everyone,38000000.0,1000000
AUTO_AND_VEHICLES,4.3,3574,Everyone 10+,39000000.0,1000000
COMMUNICATION,4.2,15880,Everyone,320000000.0,1000000
LIBRARIES_AND_DEMO,4.1,3781,Everyone,360000000.0,1000000
HEALTH_AND_FITNESS,4.5,19074,Everyone,42000000.0,1000000
COMMUNICATION,4.1,55098,Everyone,43000000.0,1000000
EDUCATION,4.4,1090,Everyone,490000000.0,1000000
EDUCATION,4.3,16195,Everyone,52000000.0,1000000
EDUCATION,4.6,73404,Everyone,53000000.0,1000000
EDUCATION,4.7,19277,Everyone,53000000.0,1000000
BOOKS_AND_REFERENCE,4.4,22486,Teen,54000000.0,1000000
EDUCATION,4.6,25183,Everyone,54000000.0,1000000
EDUCATION,4.7,52743,Everyone,54000000.0,1000000
EDUCATION,4.7,61749,Everyone,54000000.0,1000000
COMICS,4.4,5968,Everyone,57000000.0,1000000
BUSINESS,4.3,10600,Everyone,65000000.0,1000000
EDUCATION,4.4,33646,Everyone,70000000.0,1000000
DATING,4.4,35206,Everyone,72000000.0,1000000
DATING,4.4,35205,Everyone,72000000.0,1000000
FINANCE,4.6,111254,Everyone,74000000.0,1000000
HEALTH_AND_FITNESS,4.8,31665,Everyone,84000000.0,1000000
COMMUNICATION,4.8,237468,Everyone,88000000.0,1000000
DATING,3.9,8661,Mature 17+,95000000.0,1000000
DATING,4.1,11,Mature 17+,110000000.0,1000
DATING,3.8,24,Mature 17+,190000000.0,1000
EVENTS,4.9,69,Teen,3340.0,1000
DATING,2.6,57,Everyone,62000000.0,1000
LIBRARIES_AND_DEMO,4.7,48,Everyone,69000000.0,1000
LIFESTYLE,4.0,140995,Everyone,1000000000.0,10000000
HEALTH_AND_FITNESS,4.8,220125,Everyone,110000000.0,10000000
LIFESTYLE,3.8,17368,Everyone,140000000.0,10000000
LIFESTYLE,3.7,33264,Everyone,180000000.0,10000000
HEALTH_AND_FITNESS,4.4,400592,Everyone,29000000.0,10000000
EDUCATION,4.7,314299,Everyone,33000000.0,10000000
EDUCATION,4.7,314300,Everyone,33000000.0,10000000
BUSINESS,4.4,31614,Everyone,370000000.0,10000000
BUSINESS,4.4,31614,Everyone,370000000.0,10000000
COMMUNICATION,4.3,1133501,Everyone,47000000.0,10000000
GAME,4.6,760628,Everyone,630000000.0,10000000
EDUCATION,4.5,342918,Everyone,81000000.0,10000000
HOUSE_AND_HOME,4.7,126,Everyone,19000000.0,10000
EDUCATION,4.0,304,Everyone,20000000.0,10000
COMICS,4.6,302,Teen,22000000.0,10000
EVENTS,4.2,811,Everyone,28000000.0,10000
LIFESTYLE,3.9,987,Everyone,45000000.0,10000
BEAUTY,4.5,36,Everyone,67000000.0,10000
BEAUTY,4.6,38,Everyone,71000000.0,10000
COMMUNICATION,4.3,659395,Everyone,110000000.0,100000000
COMMUNICATION,4.4,2876500,Everyone,240000000.0,100000000
COMMUNICATION,4.4,3648120,Teen,33000000.0,100000000
COMMUNICATION,4.4,3648480,Teen,33000000.0,100000000
GAME,4.3,2251012,Everyone,520000000.0,100000000
EDUCATION,4.0,2525,Everyone,12000000.0,100000
DATING,3.0,1146,Mature 17+,14000000.0,100000
ART_AND_DESIGN,4.5,5035,Everyone,110000000.0,100000
BOOKS_AND_REFERENCE,4.6,7831,Teen,150000000.0,100000
HOUSE_AND_HOME,4.3,3522,Everyone,150000000.0,100000
HOUSE_AND_HOME,3.7,2248,Everyone,150000000.0,100000
EDUCATION,4.7,2544,Everyone,180000000.0,100000
AUTO_AND_VEHICLES,4.6,2431,Everyone,24000000.0,100000
BOOKS_AND_REFERENCE,4.5,527,Everyone,29000000.0,100000
FOOD_AND_DRINK,4.6,556,Teen,230000000.0,100000
LIFESTYLE,3.9,2042,Everyone,30000000.0,100000
COMICS,4.6,279,Everyone,33000000.0,100000
AUTO_AND_VEHICLES,4.9,10479,Everyone,330000000.0,100000
BEAUTY,4.3,601,Everyone,350000000.0,100000
HEALTH_AND_FITNESS,4.2,1324,Everyone,40000000.0,100000
HEALTH_AND_FITNESS,4.2,1324,Everyone,40000000.0,100000
EVENTS,4.4,4298,Everyone,44000000.0,100000
AUTO_AND_VEHICLES,4.0,1288,Everyone,45000000.0,100000
LIFESTYLE,4.0,5208,Teen,45000000.0,100000
EDUCATION,4.1,2363,Everyone,66000000.0,100000
BUSINESS,4.7,11442,Everyone,68000000.0,100000
BUSINESS,4.7,11442,Everyone,68000000.0,100000
EDUCATION,3.5,1405,Everyone,73000000.0,100000
HOUSE_AND_HOME,4.2,809,Everyone,78000000.0,100000
